Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,10/19/2021,2267,N453UA,ORD,6:55,7:08,135,139,13,7:19,11,13,0,4,0,0
UA,10/19/2022,1565,N427UA,IAD,6:00,5:54,77,70,-6,6:07,13,0,0,0,0,0
UA,10/19/2022,1646,N896UA,DEN,16:04,15:53,238,214,-11,16:01,8,0,0,0,0,0
UA,10/19/2022,2649,N846UA,ORD,17:45,17:49,125,118,4,17:56,7,0,0,0,0,0
UA,10/19/2022,2661,N835UA,ORD,6:45,6:37,130,133,-8,7:10,33,0,0,0,0,0
UA,10/20/2019,2391,N37255,ORD,7:30,7:27,142,115,-3,7:41,14,0,0,0,0,0
UA,10/20/2021,2267,N461UA,ORD,6:55,6:52,135,131,-3,7:03,11,0,0,0,0,0
UA,10/20/2022,1565,N491UA,IAD,6:00,5:56,77,75,-4,6:13,17,0,0,0,0,0
UA,10/20/2022,1646,N850UA,DEN,16:04,16:00,238,215,-4,16:10,10,0,0,0,0,0
UA,10/20/2022,2649,N814UA,ORD,17:45,17:38,125,127,-7,18:03,25,0,0,0,0,0
UA,10/20/2022,2661,N839UA,ORD,6:45,6:41,130,135,-4,7:07,26,0,0,0,0,0
UA,10/21/2019,2391,N76502,ORD,7:30,7:30,142,133,0,7:49,19,0,0,0,0,0
UA,10/21/2021,2267,N402UA,ORD,6:55,6:57,135,137,2,7:19,22,0,0,0,0,0
UA,10/21/2022,1565,N452UA,IAD,6:00,5:52,77,71,-8,6:03,11,0,0,0,0,0
UA,10/21/2022,1646,N896UA,DEN,16:04,15:59,238,246,-5,16:10,11,0,0,0,0,0
UA,10/21/2022,1822,N69826,EWR,20:03,19:53,74,71,-10,20:16,23,0,0,0,0,0
UA,10/21/2022,2649,N827UA,ORD,17:45,17:36,125,131,-9,17:58,22,0,0,0,0,0
UA,10/21/2022,2661,N829UA,ORD,6:45,6:36,130,114,-9,6:51,15,0,0,0,0,0
UA,10/22/2019,2391,N76288,ORD,7:30,7:24,142,138,-6,7:33,9,0,0,0,0,0
UA,10/22/2021,2267,N449UA,ORD,6:55,6:48,135,135,-7,6:59,11,0,0,0,0,0
